marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,catégorie
Volvo,S80 T6,272,très longue,5,5,blanc,false,50500,routière
Volvo,S80 T6,272,très longue,5,5,noir,false,50500,routière
Volvo,S80 T6,272,très longue,5,5,rouge,false,50500,routière
Volvo,S80 T6,272,très longue,5,5,gris,true,35350,routière
Volvo,S80 T6,272,très longue,5,5,bleu,true,35350,routière
Volvo,S80 T6,272,très longue,5,5,gris,false,50500,routière
Volvo,S80 T6,272,très longue,5,5,bleu,false,50500,routière
Volvo,S80 T6,272,très longue,5,5,rouge,true,35350,routière
Volvo,S80 T6,272,très longue,5,5,blanc,true,35350,routière
Volvo,S80 T6,272,très longue,5,5,noir,true,35350,routière
Volkswagen,Touran 2.0 FSI,150,longue,7,5,rouge,false,27340,monospace
Volkswagen,Touran 2.0 FSI,150,longue,7,5,gris,true,19138,monospace
Volkswagen,Touran 2.0 FSI,150,longue,7,5,bleu,true,19138,monospace
Volkswagen,Touran 2.0 FSI,150,longue,7,5,gris,false,27340,monospace
Volkswagen,Touran 2.0 FSI,150,longue,7,5,bleu,false,27340,monospace
Volkswagen,Touran 2.0 FSI,150,longue,7,5,blanc,true,19138,monospace
Volkswagen,Touran 2.0 FSI,150,longue,7,5,noir,true,19138,monospace
Volkswagen,Touran 2.0 FSI,150,longue,7,5,rouge,true,19138,monospace
Volkswagen,Touran 2.0 FSI,150,longue,7,5,blanc,false,27340,monospace
Volkswagen,Touran 2.0 FSI,150,longue,7,5,noir,false,27340,monospace
Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,true,8540,citadine
Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200,citadine
Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200,citadine
Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,true,8540,citadine
Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,true,8540,citadine
Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,false,12200,citadine
Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,true,8540,citadine
Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200,citadine
Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,false,12200,citadine
Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,true,8540,citadine
Volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,true,18641,coupé
Volkswagen,New Beatle 1.8,110,moyenne,5,5,noir,true,18641,coupé
Volkswagen,New Beatle 1.8,110,moyenne,5,5,rouge,true,18641,coupé
Volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,true,18641,coupé
Volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,true,18641,coupé
Volkswagen,New Beatle 1.8,110,moyenne,5,5,rouge,false,26630,coupé
Volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,false,26630,coupé
Volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,false,26630,coupé
Volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,false,26630,coupé
Volkswagen,New Beatle 1.8,110,moyenne,5,5,noir,false,26630,coupé
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,true,16029,compacte
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,true,16029,compacte
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,true,16029,compacte
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,true,16029,compacte
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,true,16029,compacte
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,false,22900,compacte
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,false,22900,compacte
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,false,22900,compacte
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,false,22900,compacte
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,false,22900,compacte
Skoda,Superb 2.8 V6,193,très longue,5,5,rouge,false,31790,routière
Skoda,Superb 2.8 V6,193,très longue,5,5,gris,false,31790,routière
Skoda,Superb 2.8 V6,193,très longue,5,5,bleu,false,31790,routière
Skoda,Superb 2.8 V6,193,très longue,5,5,noir,false,31790,routière
Skoda,Superb 2.8 V6,193,très longue,5,5,blanc,false,31790,routière
Seat,Toledo 1.6,102,longue,5,5,blanc,false,18880,compacte
Seat,Toledo 1.6,102,longue,5,5,noir,false,18880,compacte
Seat,Toledo 1.6,102,longue,5,5,rouge,false,18880,compacte
Seat,Toledo 1.6,102,longue,5,5,gris,false,18880,compacte
Seat,Toledo 1.6,102,longue,5,5,bleu,false,18880,compacte
Saab,9.3 1.8T,150,longue,5,5,blanc,true,27020,familiale
Saab,9.3 1.8T,150,longue,5,5,rouge,true,27020,familiale
Saab,9.3 1.8T,150,longue,5,5,gris,true,27020,familiale
Saab,9.3 1.8T,150,longue,5,5,bleu,true,27020,familiale
Saab,9.3 1.8T,150,longue,5,5,noir,true,27020,familiale
Saab,9.3 1.8T,150,longue,5,5,gris,false,38600,familiale
Saab,9.3 1.8T,150,longue,5,5,bleu,false,38600,familiale
Saab,9.3 1.8T,150,longue,5,5,noir,false,38600,familiale
Saab,9.3 1.8T,150,longue,5,5,rouge,false,38600,familiale
Saab,9.3 1.8T,150,longue,5,5,blanc,false,38600,familiale
Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,true,34440,routière
Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,true,34440,routière
Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,true,34440,routière
Renault,Vel Satis 3.5 V6,245,très longue,5,5,rouge,true,34440,routière
Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,true,34440,routière
Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,false,49200,routière
Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,false,49200,routière
Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,false,49200,routière
Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,false,49200,routière
Renault,Vel Satis 3.5 V6,245,très longue,5,5,rouge,false,49200,routière
Renault,Megane 2.0 16V,135,moyenne,5,5,gris,true,15644,compacte
Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,true,15644,compacte
Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,true,15644,compacte
Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,true,15644,compacte
Renault,Megane 2.0 16V,135,moyenne,5,5,noir,true,15644,compacte
Renault,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350,compacte
Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,false,22350,compacte
Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,false,22350,compacte
Renault,Megane 2.0 16V,135,moyenne,5,5,noir,false,22350,compacte
Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,false,22350,compacte
Renault,Laguna 2.0T,170,longue,5,5,rouge,true,19110,familiale
Renault,Laguna 2.0T,170,longue,5,5,gris,true,19110,familiale
Renault,Laguna 2.0T,170,longue,5,5,bleu,true,19110,familiale
Renault,Laguna 2.0T,170,longue,5,5,blanc,true,19110,familiale
Renault,Laguna 2.0T,170,longue,5,5,noir,true,19110,familiale
Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300,familiale
Renault,Laguna 2.0T,170,longue,5,5,bleu,false,27300,familiale
Renault,Laguna 2.0T,170,longue,5,5,rouge,false,27300,familiale
Renault,Laguna 2.0T,170,longue,5,5,noir,false,27300,familiale
Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300,familiale
Renault,Espace 2.0T,165,longue,7,5,gris,true,21245,monospace
Renault,Espace 2.0T,165,longue,7,5,bleu,true,21245,monospace
Renault,Espace 2.0T,165,longue,7,5,noir,true,21245,monospace
Renault,Espace 2.0T,165,longue,7,5,rouge,true,21245,monospace
Renault,Espace 2.0T,165,longue,7,5,blanc,true,21245,monospace
Renault,Espace 2.0T,165,longue,7,5,noir,false,30350,monospace
Renault,Espace 2.0T,165,longue,7,5,bleu,false,30350,monospace
Renault,Espace 2.0T,165,longue,7,5,rouge,false,30350,monospace
Renault,Espace 2.0T,165,longue,7,5,blanc,false,30350,monospace
Renault,Espace 2.0T,165,longue,7,5,gris,false,30350,monospace
Peugeot,1007 1.4,75,courte,5,5,rouge,true,9625,minispace
Peugeot,1007 1.4,75,courte,5,5,noir,false,13750,minispace
Peugeot,1007 1.4,75,courte,5,5,gris,false,13750,minispace
Peugeot,1007 1.4,75,courte,5,5,blanc,true,9625,minispace
Peugeot,1007 1.4,75,courte,5,5,rouge,false,13750,minispace
Peugeot,1007 1.4,75,courte,5,5,gris,true,9625,minispace
Peugeot,1007 1.4,75,courte,5,5,blanc,false,13750,minispace
Peugeot,1007 1.4,75,courte,5,5,bleu,true,9625,minispace
Peugeot,1007 1.4,75,courte,5,5,noir,true,9625,minispace
Peugeot,1007 1.4,75,courte,5,5,bleu,false,13750,minispace
Nissan,Primera 1.6,109,longue,5,5,noir,false,18650,familiale
Nissan,Primera 1.6,109,longue,5,5,bleu,false,18650,familiale
Nissan,Primera 1.6,109,longue,5,5,rouge,false,18650,familiale
Nissan,Primera 1.6,109,longue,5,5,gris,false,18650,familiale
Nissan,Primera 1.6,109,longue,5,5,blanc,false,18650,familiale
Nissan,Maxima 3.0 V6,200,très longue,5,5,noir,false,30000,routière
Nissan,Maxima 3.0 V6,200,très longue,5,5,gris,false,30000,routière
Nissan,Maxima 3.0 V6,200,très longue,5,5,bleu,false,30000,routière
Nissan,Maxima 3.0 V6,200,très longue,5,5,rouge,false,30000,routière
Nissan,Maxima 3.0 V6,200,très longue,5,5,blanc,false,30000,routière
Nissan,Almera 1.8,115,moyenne,5,5,gris,false,16450,compacte
Nissan,Almera 1.8,115,moyenne,5,5,bleu,false,16450,compacte
Nissan,Almera 1.8,115,moyenne,5,5,noir,false,16450,compacte
Nissan,Almera 1.8,115,moyenne,5,5,rouge,false,16450,compacte
