age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
21,F,864,En Couple,3,false,8784 ND 75
40,F,502,En Couple,0,false,4555 MH 98
81,M,437,En Couple,3,false,1826 UZ 35
35,F,1162,Célibataire,0,false,5932 JM 97
45,M,523,Célibataire,0,false,8981 PQ 88
43,M,555,Célibataire,0,false,8271 LA 11
49,M,173,En Couple,0,false,8697 KC 65
51,M,452,En Couple,3,false,6953 ZQ 55
58,F,713,En Couple,1,false,4009 TM 17
48,M,209,En Couple,4,false,1756 IH 38
27,M,508,Célibataire,0,false,4924 OF 77
34,M,458,En Couple,3,true,1601 QN 44
50,M,413,Célibataire,0,false,6911 QY 57
36,M,508,En Couple,4,false,9709 GG 72
42,M,594,En Couple,0,false,1597 EB 53
58,M,503,Célibataire,0,false,6877 IC 29
41,M,1067,Célibataire,0,false,6841 GO 19
18,M,440,Célibataire,0,false,635 RP 98
67,F,197,En Couple,1,false,5249 EK 49
20,M,795,Seule,1,false,5240 GJ 78
26,F,478,En Couple,2,false,9786 FJ 94
55,F,840,En Couple,0,false,5474 JJ 50
18,F,508,En Couple,3,false,6168 PR 37
68,M,533,Célibataire,0,false,4541 CS 95
26,F,556,En Couple,2,false,2004 ON 65
81,M,457,Seule,1,false,8683 CT 38
75,F,227,Seule,2,false,4501 KU 28
81,M,523,En Couple,2,false,4262 UJ 81
38,M,180,En Couple,3,false,5818 XW 59
32,M,568,En Couple,3,false,2386 OA 54
69,M,446,Célibataire,0,false,7948 IY 74
84,M,1342,Célibataire,0,false,9454 EB 76
54,M,553,En Couple,3,false,6974 VK 70
39,F,746,En Couple,4,false,2753 DL 20
31,M,597,En Couple,0,false,9822 TD 52
39,M,1115,Célibataire,0,false,4366 TI 16
48,F,424,En Couple,3,false,8547 SG 87
82,F,1095,En Couple,1,false,1858 MM 86
37,M,403,En Couple,0,true,4766 LE 69
65,M,189,En Couple,4,false,4531 BV 85
73,M,227,Célibataire,0,false,1611 RV 94
19,M,724,En Couple,2,false,7904 IM 93
46,M,543,Célibataire,0,false,4463 UP 72
25,M,197,Célibataire,0,false,8965 ZN 17
21,F,409,En Couple,4,false,1241 VV 44
32,M,548,En Couple,4,false,6981 IX 85
77,M,1282,Célibataire,0,false,2706 AR 83
56,M,491,Célibataire,0,false,5232 ES 73
29,M,563,?,2,false,2719 MG 31
65,Masculin,215,En Couple,4,false,1901 ME 89
25,M,223,En Couple,0,false,6332 OU 52
28,M,833,En Couple,2,false,5182 PS 95
35,Homme,236,En Couple,3,false,2672 WU 81
53,M,799,En Couple,3,true,640 NM 85
37,M,573,Célibataire,0,false,9917 CH 30
43,M,231,En Couple,0,false,522 KJ 51
20,F,554,Seule,1,false,5614 VD 35
49,M,437,En Couple,0,false,571 QH 52
27,M,453,En Couple,0,false,5160 VG 42
24,M,152,Célibataire,0,false,4349 SM 81
77,F,970,Célibataire,0,false,1627 PW 53
53,F,229,En Couple,4,false,3766 TZ 11
49,M,486,Seule,2,false,4545 LQ 75
74,M,521,En Couple,4,false,9364 NP 61
75,M,550,En Couple,1,true,747 XU 32
30,M,213,En Couple,2,false,6110 QS 89
46,M,1013,En Couple, ,false,376 JN 24
31,M,407,En Couple,1,false,2727 VZ 79
74,M,520,En Couple,3,false,6576 HB 59
50,F,1016,En Couple,2,false,3548 HT 97
71,M,154,En Couple,2,false,4162 RA 41
83,F,502,En Couple,2,false,2818 IX 59
58,M,509,Célibataire,0,false,9916 OP 48
51,M,406,En Couple,2,false,8139 HC 94
41,M,499,Célibataire,0,false,8417 EF 17
37,F,495,En Couple,3,false,8607 GE 78
33,Homme,425,En Couple,0,false,4881 SP 20
48,F,409,?,2,false,1909 MO 98
45,M,542,En Couple,3,false,2966 JN 94
75,M,553,En Couple,2,false,729 II 15
78,M,1128,Seule,3,false,4003 YK 43
56,M,439,Célibataire,0,false,3925 SX 37
73,F,1348,Célibataire,0,false,7093 NP 93
74,M,476,En Couple,0,false,3978 FD 80
35,M,417,En Couple,4,true,3524 WF 22
84,M,193,Célibataire,0,false,5701 QF 21
69,M,440,En Couple,2,false,464 TE 84
23,M,508,Célibataire,0,false,8476 LE 41
83,M,589,En Couple,2,false,3013 RT 68
71,M,426,En Couple,4,false,9600 UJ 61
20,M,483,En Couple,2,false,3177 NP 67
29,F,1081,En Couple,4,false,5531 KX 13
41,F,516,Célibataire,0,false,3019 XW 57
60,M,184,En Couple,2,false,5281 WD 81
56,F,161,En Couple,0,true,2531 JR 33
59,F,1171,Célibataire,0,false,7504 MJ 40
57,M,486,En Couple,2,true,9398 LW 62
55,M,417,Célibataire,0,false,2433 IB 71
65,M,567,En Couple,0,false,5025 VA 12
20,M,203,En Couple,0,false,1046 GN 66
24,M,949,Célibataire,0,false,2843 IU 85
43,M,230,En Couple,1,false,3164 NR 92
68,F,419,En Couple,3,true,3829 WD 26
56,Féminin,162,En Couple,3,false,2264 QE 80
26,M,876,En Couple,1,false,5563 ZX 26
84,M,740,En Couple,1,false,4908 WZ 42
57,M,208,Célibataire,0,false,7601 BC 51
65,M,1396,En Couple,1,false,9584 PC 95
33,Masculin,566,Célibataire,0,false,2888 TJ 41
23,F,1252,En Couple,0,true,2699 JV 74
53,M,1005,Célibataire,0,false,8120 KI 80
38,M,782,Célibataire,0,false,2697 BK 15
81,F,179,En Couple,1,false,6422 BR 61
80,M,1193,En Couple,2,false,9859 TV 69
55,M,952,En Couple,0,false,4429 RU 18
37,M,432,En Couple,1,false,8125 VL 58
23,M,557,Célibataire,0,false,8054 QF 65
24,M,1268,En Couple,3,false,8705 BH 71
26,M,1281,En Couple,2,false,9138 ZZ 80
